어휘,뜻풀이
가만하다,움직이지 않거나 아무 말도 하지 아니한 상태에 있다어떤 대책을 세우거나 손을 쓰지 아니하고 그대로 있다움직임 따위가 그다지 드러나지 않을 만큼 조용하고 은은하다
가맣다,밝고 엷게 검다거리나 시간 따위가 아득하게 멀다기억이나 아는 바가 전혀 없다헤아릴 수 없이 많다놀라거나 아파서 살색이 짙어지다
가멸다,재산이나 자원 따위가 넉넉하고 많다
가멸지다, 가멸다
가멸차다,재산이나 자원 따위가 매우 많고 풍족하다
가멸하다, 가멸다
가무께하다,곱지도 짙지도 않게 감다
가무끄름하다,조금 어둡게 가무스름하다
가무대대하다,산뜻하지 못하고 조금 천박하게 가무스름하다
가무댕댕하다,고르지 않게 가무스름하다
가무레하다,엷게 가무스름하다
가무숙숙하다,수수하고 알맞게 감다
가무스레하다,빛깔이 조금 감은 듯하다
가무스름하다,빛깔이 조금 감은 듯하다
가무잡잡하다,약간 짙게 가무스름하다
가무족족하다,칙칙하고 고르지 않게 가무스름하다
가무총총하다,꺼림칙해 보일 정도로 어둠침침하게 가무스름하다
가무칙칙하다,산뜻하지 않고 짙게 감다
가무퇴퇴하다,너저분해 보일 정도로 탁하게 가무스름하다
가무트름하다,가마무트름하다의 준말
가무파리하다,가무스름하고 파리하게 핼쑥하다
가뭇가뭇하다,군데군데 가무스름하다
가뭇없다,보이던 것이 전혀 보이지 않아 찾을 곳이 감감하다눈에 띄지 않게 감쪽같다
가뭇하다,빛깔이 조금 감은 듯하다
