어휘,뜻풀이
낯없다,마음에 너무 미안하고 부끄러워 남을 대하기에 떳떳하지 않다
낯익다,여러 번 보아서 눈에 익거나 친숙하다사물이 눈에 익다
내강외유하다,겉으로는 부드럽고 순하게 보이나 속은 곧고 굳세다
내강하다,속마음이 굳세고 단단하다
내근하다,부녀자가 거처하는 곳과 가깝다
내리다,단단한 가루나 씨알 따위가 몹시 작다
내명하다,겉으로는 어수룩하나 속은 슬기롭다
내무주장하다,집안 살림을 맡아 할 안주인이 없다
내무진하다,계속 와서 끝이 없다
내밀하다,어떤 일이 겉으로 드러나지 아니하다
내복하다,겉보기에는 그저 그러나 속은 실하고 유복하다
내숭스럽다,겉으로는 순해 보이나 속으로는 엉큼한 데가 있다
내숭하다,겉으로는 순해 보이나 속으로는 엉큼하다
내약하다,마음이나 뜻이 굳세지 못하고 약하다나라가 안으로 충실하지 못하고 쇠약하다
내유외강하다,겉으로 보기에는 강하게 보이나 속은 부드럽다
내유하다,속마음이나 성질이 부드럽다
내친하다,마음으로 친하다
내허하다,속이 빈 상태에 있다내장 장기가 허약하다
냅다,연기로 인해 눈이나 목구멍이 쓰라린 느낌이 있다
냉담하다,태도나 마음씨가 동정심 없이 차갑다어떤 대상에 흥미나 관심을 보이지 않는 데가 있다
냉락하다,외롭고 쓸쓸하다서로의 사이가 멀어져 정답지 않고 쌀쌀하다
냉랭하다,온도가 몹시 낮아서 차다태도가 정답지 않고 매우 차다
냉량하다,약간 차갑고 서늘하다
냉수스럽다,사람이나 일이 싱겁고 아무 재미가 없는 듯하다
냉습하다,차고 습하다
냉심하다,태도나 행동이 정다운 맛이 없고 차다
냉암하다,차갑고 어둡다
냉엄하다,태도나 행동이 냉정하고 엄하다일이나 상황이 조금도 빈틈없이 엄격하다
냉연하다,태도 따위가 쌀쌀하다모습 따위가 깨끗하다
냉염하다,쌀쌀하면서 곱다 주로 눈이나 배꽃 따위의 맵시를 이르는 말이다
냉정스럽다,매정하고 쌀쌀한 데가 있다
냉정하다,태도가 정다운 맛이 없고 차갑다
냉정하다,생각이나 행동이 감정에 좌우되지 않고 침착하다
냉철하다,생각이나 판단 따위가 감정에 치우치지 않고 침착하며 사리에 밝다
냉초하다,날씨가 몹시 춥다하는 말이 날카롭다
냉하다,싸늘하고 찬 기운이 있다아랫배가 늘 싸늘하다약재나 약제에 사람의 몸을 차갑게 하는 성질이 있다
냉한하다,차고 춥다
냉혹하다,차갑고 혹독하다
너그럽다,마음이 넓고 아량이 있다폭 따위가 여유 있게 넓다경사가 급하지 아니하다움직임이 완만하다
너글너글하다,매우 너그럽고 시원스럽다
너끈하다,무엇을 하는 데에 모자람이 없이 넉넉하다
너나없다,너나 나나 가릴 것 없이 다 마찬가지이다
너누룩하다,요란하고 사납던 날씨나 떠들썩하던 상황이 좀 수그러져 잠잠하다심하던 병세가 잠시 가라앉다감정이나 심리가 좀 느긋하다
너눅하다,너누룩하다의 준말너누룩하다의 준말너누룩하다의 준말
너더분하다,여럿이 뒤섞여 널려 있어 어지럽다말이 어수선하고 복잡하여 필요 이상으로 길다
너덕너덕하다,여기저기 고르지 않게 깁거나 덧붙인 데가 있다
너렁청하다,탁 트여서 시원스럽게 넓다
너르다,공간이 두루 다 넓다마음을 쓰는 것이나 생각하는 것이 너그럽고 크다
너르디너르다,더할 수 없을 정도로 매우 너르다
너벳벳하다,큰 얼굴이 너부죽하고 덕성스럽다
너볏하다,몸가짐이나 행동이 번듯하고 의젓하다
너부데데하다,얼굴이 둥그스름하고 너부죽하다
너부렁넓적하다,평평하게 퍼진 듯이 넓적하다
너부죽하다,조금 넓고 평평한 듯하다
너붓하다,조금 너부죽하다
너스르르하다,굵고 부드러운 털이나 풀 따위가 길고 성기게 나 있다
너슬너슬하다,굵고 긴 털이나 풀 따위가 부드럽고 성기다
너저분하다,질서가 없이 마구 널려 있어 어지럽고 깨끗하지 않다말이 쓸데없이 복잡하고 길다
너절너절하다,천이나 옷 따위가 늘어지거나 해져서 몹시 어지럽고 지저분하다
너절하다,허름하고 지저분하다하찮고 시시하다
너주레하다,조금 허름하고 지저분하다조금 하찮고 시시하다
너쥘하다, 너절하다
넉근하다, 너끈하다
넉넉하다,크기나 수량 따위가 기준에 차고도 남음이 있다살림살이가 모자라지 않고 여유가 있다마음이 넓고 여유가 있다형세 따위가 제법 번듯하며 듬직하다
넉살맞다,부끄러운 기색이 없이 몹시 비위가 좋다
넉살스럽다,부끄러움이 없이 비위가 좋고 질긴 데가 있다
넌덕스럽다,너털웃음을 치며 재치 있는 말을 늘어놓는 재주가 있다
넌들넌들하다,천이나 옷 따위가 어지럽고 지저분하게 늘어져 있다
넌주룩하다, 너누룩하다
널다랗다, 널따랗다
널따랗다,꽤 넓다
널직하다, 널찍하다
널찍널찍하다,여럿이 다 또는 매우 너르다
널찍하다,꽤 너르다
널펀펀하다,넓고 펀펀하다
넓다,면이나 바닥 따위의 면적이 크다너비가 크다마음 쓰는 것이 크고 너그럽다내용이나 범위 따위가 널리 미치다
넓다랗다, 널따랗다
넓데데하다, 너부데데하다
넓둥글다,물체의 모양이 넓죽하면서 둥글다
넓디넓다,더할 수 없을 정도로 매우 넓다
넓삐죽하다,물체의 모양이 넓고 삐죽하다
넓적넓적하다,여럿이 다 펀펀하고 얇으면서 꽤 넓다
넓적스레하다,약간 펀펀하고 얇으면서 꽤 넓다
넓적스름하다,약간 펀펀하고 얇으면서 꽤 넓다
넓적하다,펀펀하고 얇으면서 꽤 넓다
넓죽넓죽하다,여럿이 다 길쭉하고 넓다
넓죽스름하다,약간 길쭉하고 넓다
넓죽하다,길쭉하고 넓다
넓직하다, 널찍하다
넘너른하다,여기저기 마구 널려 있다
넙데데하다,너부데데하다의 준말
넙적하다, 넓적하다
네모나다,모양이 네모꼴로 되어 있다
네모반듯하다,네모지게 반듯하다
네모지다,모양이 네모꼴로 이루어져 있다
노건하다,늙었으나 몸은 건강하다글이나 서체 따위가 노련하고 힘이 있다
노건하다,둔하고 느리다
노결하다,근심과 걱정으로 마음이 답답하다 또는 근심이 있어 우울하다
노곤하다,나른하고 피로하다
노교하다,오랜 경험으로 일의 처리 능력이 노련하고 교묘하다
노궁하다,늙고 가난하다
노그름하다,약간 노글노글하게 묽다
노근하다, 노곤하다
노글노글하다,좀 무르고 보드랍다성질이나 태도가 좀 무르고 보드랍다
노긋노긋하다,여럿이 다 또는 매우 메마르지 않고 녹녹하다성질이나 태도가 여럿이 다 또는 매우 보드랍고 순하다
노긋하다,메마르지 않고 좀 녹녹하다성질이나 태도가 좀 보드랍고 순하다힘이 없고 나른하다
노기등등하다,노하거나 성난 기운이 얼굴에 가득하다
노기등천하다,성이 하늘을 찌를 듯이 머리끝까지 치받쳐 있다
노기발발하다,노한 기운이 발끈 나 있다
노기충천하다,성이 하늘을 찌를 듯이 머리끝까지 치받쳐 있다
노닥노닥하다,해지고 찢어진 곳이 여기저기 기워지거나 덧붙여져 있다
노대하다,나이가 많다나이가 많고 경험이 풍부하며 권위가 있다
노둔하다,늙어서 재빠르지 못하고 둔하다
노둔하다,둔하고 어리석어 미련하다
노라노랗다, 샛노랗다
노라발갛다,노란빛을 띠면서 발갛다
노랗다,병아리나 개나리꽃과 같이 밝고 선명하게 노르다영양 부족이나 병으로 얼굴에 핏기가 없고 노르께하다
노련하다,많은 경험으로 익숙하고 능란하다
노르께하다,곱지도 짙지도 않게 노르다
노르끄레하다,곱지 않고 엷게 노르다
노르끄름하다,조금 어둡게 노르스름하다
노르끄무레하다,엷게 노르다
노르다,달걀노른자의 빛깔과 같이 밝고 선명하다
노르대대하다,산뜻하지 못하고 좀 천박하게 노르스름하다
노르댕댕하다,고르지 않게 노르스름하다
노르무레하다,산뜻하지 않고 엷게 노르다
노르스레하다,조금 노르다
노르스름하다,조금 노르다
노르족족하다,칙칙하고 고르지 않게 노르스름하다
노르칙칙하다,산뜻하지 않고 짙게 노랗다
노르퇴퇴하다,너저분해 보일 정도로 탁하게 노르스름하다
노름노름하다,군데군데 노르스름하다매우 노르스름하다
노름하다,조금 노르다
노릇노릇하다,군데군데 노르스름하다매우 노르스름하다
노릇하다,조금 노르다
노리끼리하다,곱지도 짙지도 않게 노르다
노리다,짐승의 고기에서 나는 기름기 냄새나 고기 또는 털 따위의 단백질이 타는 냄새처럼 역겨운 냄새가 있다고기에 기름기가 많아 맛이 매스껍고 비위에 거슬릴 만하다마음을 쓰는 것이 인색하고 치사하다
노리착지근하다,노린 냄새가 조금 나는 듯하다
노리치근하다,노리착지근하다의 준말
노릿하다,맛이나 냄새가 약간 노리다
노망하다,거칠고 서투르다
노무력하다,늙고 힘이 없다
노무용하다,너무 늙어 아무런 쓸모가 없다
노무하다,거칠고 서투르다
노박하다,어수룩하고 순박하다
노부지둔하다,늙어서 느리고 둔하다
노성하다,많은 경험을 쌓아 세상일에 익숙하다나이에 비하여 어른티가 나다
노쇠하다,늙어서 쇠약하고 기운이 별로 없다
노숙하다,오랜 경험으로 익숙하다
노실하다,노련하고 성실하다
노약하다,늙어서 쇠약하다
노엽다,화가 날 만큼 분하고 섭섭하다
노자근하다,노작지근하다의 준말
노작지근하다,몸에 힘이 없고 맥이 풀려 나른하다
노졸하다,늙고 생김새가 보기에 좋지 않다
노착지근하다,노리착지근하다의 준말
노창하다,나이가 들어 머리가 희다점잖고 의젓하다
노추하다,늙고 추하다
노췌하다,늙어서 몸이 마르고 핼쑥하다
노췌하다,지치고 힘들어서 몸이 마르고 핼쑥하다
노폐하다,낡거나 늙어서 더 이상 쓸모가 없다
노하다,장소가 깊숙하지 않고 넓게 퍼져서 겉으로 드러나 있다
노혼하다,늙어서 정신이 흐리다
노활하다,노련하고 교활하다
노회하다,경험이 많고 교활하다
노후하다,제구실을 하지 못할 정도로 낡고 오래되다
노흉하다,늙고 음흉하다
녹녹하다,촉촉한 기운이 약간 있다물기나 기름기가 있어 딱딱하지 않고 좀 무르며 보드랍다
녹록하다,평범하고 보잘것없다만만하고 상대하기 쉽다
녹신녹신하다,질기거나 차진 물체가 여럿이 다 또는 매우 무르고 보드랍다
녹신하다,질기거나 차진 물체가 좀 무르고 보드랍다
녹신하다,맥이 빠져 나른하다
녹실녹실하다,질기거나 차진 물체가 여럿이 다 또는 매우 무르고 말랑말랑하다
녹실하다,질기거나 차진 물체가 매우 무르고 말랑하다
녹작지근하다,온몸에 힘이 없고 맥이 풀려 몹시 나른하다
녹지근하다,온몸에 힘이 없고 맥이 풀려 몹시 나른하다
녹진녹진하다,물기가 약간 있어 녹녹하면서 끈끈하다성질이 보드라우면서 끈기가 있다
녹진하다,물기가 약간 있어 녹녹하면서 끈끈하다성질이 보드라우면서 끈기가 있다
녹짝지근하다, 녹작지근하다
논독하다,언론이 독실하다
놀놀하다,털이나 풀 따위의 빛깔이 노르스름하다
놀놀하다,만만하며 보잘것없다
놀다,드물어서 구하기 어렵다
놀랍다,감동을 일으킬 만큼 훌륭하거나 굉장하다갑작스러워 두렵거나 흥분 상태에 있다어처구니없을 만큼 괴이하다
놀롤하다, 놀놀하다
놀면하다,보기 좋을 만큼 알맞게 노르스름하다
농농하다,아주 진하다
농란하다,잘 익은 상태에 있다
농롱하다,동이 틀 무렵처럼 어둑어둑하다
농롱하다,옥 따위가 부딪쳐서 나는 소리가 매우 맑다빛이 매우 찬란하다
농매하다,사리에 어둡다
농몽하다,달빛이 흐릿하다어른어른하여 희미하다
농밀하다,짙고 빽빽하다서로 사귀는 정이 두텁고 가깝다
농염하다,한껏 무르익어 아름답다
농탁하다,액체 따위가 진하고 걸쭉하다
농판스럽다,분위기나 행동거지가 진지하지 못하고 장난기나 농기가 있다
농하다, 짙다
농홍하다,짙게 붉다
농후하다,맛 빛깔 성분 따위가 매우 짙다어떤 경향이나 기색 따위가 뚜렷하다
높나직하다,다소 높거나 낮다
높다,아래에서 위까지의 길이가 길다아래에서부터 위까지 벌어진 사이가 크다수치로 나타낼 수 있는 온도 습도 압력 따위가 기준치보다 위에 있다품질 수준 능력 가치 따위가 보통보다 위에 있다값이나 비율 따위가 보통보다 위에 있다지위나 신분 따위가 보통보다 위에 있다소리가 음계에서 위쪽에 있거나 진동수가 큰 상태에 있다이름이나 명성 따위가 널리 알려진 상태에 있다기세 따위가 힘차고 대단한 상태에 있다어떤 의견이 다른 의견보다 많고 우세하다꿈이나 이상 따위가 크고 원대하다소리의 강도가 세다일어날 확률이 다른 것보다 크다
높다랗다,썩 높다
높드랗다, 높다랗다
높디높다,더할 수 없을 정도로 높다
높으락낮으락하다,높았다 낮았다 하여 높낮이가 고르지 아니하다
높지막하다,위치가 꽤 높직하다
높직높직하다,위치가 다 꽤 높다
높직하다,위치가 꽤 높다
높푸르다,높고 푸르다
뇌가하다,돌이 쌓여 있다가지런하지 아니하다성정이 예사롭지 아니하다
뇌견하다,의지나 요새 따위가 튼튼하고 굳세다
뇌고하다,의지나 요새 따위가 튼튼하고 굳세다
뇌고하다,괴로워하고 번뇌하다
뇌꼴스럽다,보기에 아니꼽고 얄미우며 못마땅한 데가 있다
뇌락하다,마음이 넓고 비범하다드문드문 성기다적적하고 쓸쓸하다
뇌락하다,마음이 너그럽고 작은 일에 얽매이지 않다
뇌랗다,생기가 없이 몹시 노랗다
뇌려풍비하다,비유적으로 위세가 맹렬하고 행동이 신속하다 우레가 격렬하고 바람이 빠르게 인다는 뜻에서 나온 말이다
뇌뢰낙락하다,마음이 매우 너그럽고 시원하여 작은 일에 얽매이지 아니하다
뇌뢰하다,마음이 너그럽고 작은 일에 얽매이지 않다
뇌르끄레하다,곱지 아니하고 엷게 뇌랗다
뇌외하다,높고 크고 험준하다
뇌자근하다, 노자근하다
뇌작지근하다, 노작지근하다
뇌하다,천하고 더럽다
뇌호하다,굳고 단단하다
뇌확하다,견고하고 확실하다
누그럽다,마음씨가 따뜻하고 부드러우며 융통성이 있다몹시 추워야 할 날씨가 따뜻하다
누그름하다,약간 누글누글하게 묽다
누글누글하다,꽤 무르고 부드럽다성질이나 태도가 꽤 무르고 부드럽다
누긋누긋하다,여럿이 다 또는 매우 메마르지 않고 눅눅하다성질이나 태도가 여럿이 다 또는 매우 부드럽고 순하다
누긋하다,메마르지 않고 좀 눅눅하다성질이나 태도가 좀 부드럽고 순하다추위가 약간 풀리다
누꿈하다,전염병이나 해충 따위의 퍼지는 기세가 매우 심하다가 조금 누그러져 약해지다
누덕누덕하다,해지고 찢어진 곳이 여기저기 너저분하게 기워지거나 덧붙여져 있다
누렁누렁하다,누런 빛깔이 도는 상태에 있다
누렇다,익은 벼와 같이 다소 탁하고 어둡게 누르다영양 부족이나 병으로 얼굴에 핏기가 없고 누르께하다
누르께하다,곱지도 짙지도 않게 누르다
누르끄레하다,곱지 않고 엷게 누르다
누르끄름하다,조금 어둡게 누르스름하다
누르끄무레하다,엷게 누르다
누르다,황금이나 놋쇠의 빛깔과 같이 다소 밝고 탁하다
누르데데하다,산뜻하지 못하고 좀 천박하게 누르스름하다
누르뎅뎅하다,고르지 않게 누르스름하다
누르디누르다,더할 나위 없이 누르다
누르딩딩하다, 누르뎅뎅하다
누르무레하다,선뜻하지 않고 엷게 누르다
누르뻑뻑하다,빛깔이 누르고 물기가 적다
누르스레하다,조금 누르다
누르스름하다,조금 누르다
누르죽죽하다,칙칙하고 고르지 않게 누르스름하다
누르칙칙하다,산뜻하지 않고 짙게 누렇다
누르퉁퉁하다,윤기가 없어 산뜻하지 않게 누르다붓거나 불어서 핏기가 없이 누르다
누르튀튀하다,너저분해 보일 정도로 탁하게 누르스름하다
누름누름하다,군데군데 누르스름하다
누름하다,조금 누르다
누릇누릇하다,군데군데 누르스름하다매우 누르스름하다
누릇하다,조금 누르다
누리끼리하다,곱지도 짙지도 않게 누르다
누리다,짐승의 고기에서 나는 기름기 냄새나 고기 또는 털 따위의 단백질이 타는 것처럼 냄새가 역겹다고기에 기름기가 많아 맛이 메스껍고 비위에 거슬리다마음을 쓰는 것이 매우 인색하고 치사하다
누리척지근하다,누린 냄새가 조금 나는 듯하다
누리치근하다,누리척지근하다의 준말
누릿하다,맛이나 냄새가 약간 누리다
누릿하다,산뜻하지 않게 조금 누르다
누비하다,더럽고 천하다
누소하다,얼굴이 못생기고 키가 작다
누습하다,축축한 기운이 스며 있다
누애하다,누추하고 비좁다
누열하다,천하고 더럽다
누우하다,천하고 어리석다
누지근하다,좀 축축한 기운이 있는 듯하다
누지다,습기를 먹어 축축한 기운이 있다
누척지근하다,누리척지근하다의 준말
누천하다,견문이 좁고 생각이 얕다
누천하다,지위나 신분이 낮고 천하다
누추하다,지저분하고 더럽다
누케하다,누린 냄새가 조금 나는 듯하다
누후하다,작고 짧으며 지저분하다
눅눅하다,축축한 기운이 약간 있다물기나 기름기가 있어 딱딱하지 않고 무르며 부드럽다
눅신눅신하다,질기거나 차진 물체가 여럿이 다 또는 매우 무르고 부드럽다
눅신하다,질기거나 차진 물체가 무르고 부드럽다
눅실눅실하다,질기거나 차진 물체가 여럿이 다 또는 매우 무르고 물렁물렁하다
눅실하다,질기거나 차진 물체가 매우 무르고 물렁하다
눅지근하다,성격 따위가 느긋하고 너그러운 듯하다
눅진눅진하다,물기가 있어 매우 눅눅하면서 끈끈하다성질이 부드러우면서도 끈기가 있다
눅진하다,물기가 약간 있어 눅눅하면서 끈끈하다성질이 부드러우면서 끈기가 있다
눈곱만하다,보잘것없이 썩 적거나 작다
눈곱자기만하다,속되게 보잘것없이 썩 적거나 작다
눈길다,시선이 좌우로 꽉 차다
눈꼴사납다,보기에 아니꼬워 비위에 거슬리게 밉다
눈꼴시다,하는 짓이 거슬리어 보기에 아니꼽다
눈꼴틀리다,하는 짓이 거슬리어 보기에 아니꼽다
눈물겹다,눈물이 날 만큼 가엾고 애처롭다
눈부시다,빛이 아주 아름답고 황홀하다활약이나 업적이 뛰어나다
눌눌하다,털이나 풀 따위의 빛깔이 누르스름하다
눌면하다,보기 좋을 만큼 알맞게 누르스름하다
눌삽하다,말을 더듬어 듣기에 힘들고 답답하다
눌하다,말소리가 분명하지 않고 떠듬떠듬하다
눙눅하다, 눅눅하다
뉘렇다,생기가 없이 몹시 누렇다
뉘르끄레하다,곱지 않고 엷게 뉘렇다
뉘쁘다,뉘우치는 생각이 있다
뉘엿뉘엿하다,해가 곧 지려고 산이나 지평선 너머로 조금씩 차츰 넘어가는 상태에 있다속이 몹시 메스꺼워 자꾸 토할 듯한 상태에 있다
뉘엿하다,해가 곧 지려고 하는 상태에 있다
뉘우쁘다,뉘우치는 생각이 있다
뉘지근하다,맛이나 냄새 따위가 누리다
뉘척지근하다,맛이나 냄새 따위가 누리다
느근하다,먹은 것이 내려가지 아니하여 속이 느끼하다
느긋하다,먹은 것이 내려가지 아니하여 속이 느끼하다
느긋하다,마음에 흡족하여 여유가 있고 넉넉하다
느껍다,어떤 느낌이 마음에 북받쳐서 벅차다
느꼅다, 느껍다
느끄름하다,날씨 따위가 흐리어 침침하다표정이 어둡다
느끼하다,비위에 맞지 아니할 만큼 음식에 기름기가 많다기름기 많은 음식을 많이 먹어서 비위에 거슬리는 느낌이 있다맛이나 냄새 따위가 비위에 맞지 아니하다말이나 행동 따위가 느물거려 비위에 맞지 아니하다
느닷없다,나타나는 모양이 아주 뜻밖이고 갑작스럽다
느럭느럭하다,말이나 행동이 퍽 느리다
느른하다,맥이 풀리거나 고단하여 몹시 기운이 없다힘이 없이 부드럽다
느리다,어떤 동작을 하는 데 걸리는 시간이 길다어떤 일이 이루어지는 과정이나 기간이 길다기세나 형세가 약하거나 밋밋하다성질이 누그러져 야무지지 못하다꼬임새나 짜임새가 성글거나 느슨하다소리가 높지 아니하면서 늘어져 길다
느리터분하다,행동 성질 따위가 느리고 답답하다
느릿느릿하다,동작이 재지 못하고 매우 느리다짜임새나 꼬임새가 매우 느슨하거나 성기다
느릿하다,동작이 재지 못하고 느린 듯하다
느물스럽다,말이나 행동이 능글맞은 데가 있다
느슨하다,잡아맨 끈이나 줄 따위가 늘어져 헐겁다나사 따위가 헐겁게 죄어져 있다마음이 풀어져 긴장됨이 없다
느슷하다, 느긋하다
느신하다, 느슨하다
느지막하다,시간이나 기한이 매우 늦다
느직느직하다,동작이 아주 굼뜨다여럿이 다 굼뜨다
느직하다,일정한 때보다 좀 늦다기한이 넉넉하여 여유가 있다줄 따위가 좀 느슨하다
느짓느짓하다,움직임이 여럿이 다 또는 매우 느리다줄 따위가 여럿이 다 또는 매우 느슨하다
느짓하다,움직임이 느리다줄 따위가 느슨하다
늑하다,느긋하다의 준말
는질맞다,말이나 행동이 매우 능글맞다
늘비하다,질서 없이 여기저기 많이 늘어서 있거나 놓여 있다
늘썽늘썽하다,천 대나무 따위의 짜임새나 엮음새가 여럿이 다 또는 매우 설핏하다
늘썽하다,천 대나무 따위의 짜임새나 엮음새가 설핏하다
늘씬늘씬하다,여럿이 다 또는 매우 몸이 가늘고 키가 커서 맵시가 있다여럿이 다 또는 매우 미끈하게 길다
늘씬하다,몸을 가누지 못할 정도로 축 늘어져 있다
늘씬하다,몸이 가늘고 키가 커서 맵시가 있다미끈하게 길다
늘쩍지근하다,몹시 느른하다
늘쩡늘쩡하다,성질이나 됨됨이가 꽤 느리고 야무지지 못하다
늘차다,능란하고 재빠르다
늘펀하다,퍼지르고 앉거나 누운 모양이 펀펀하고 넓다
늙수그레하다,꽤 늙어 보이다
늙수레하다,꽤 늙어 보이다
늙숙하다,조금 늙고 점잖은 태도가 있다
늙직하다,상당히 늙은 듯하다
늠렬하다,추위가 살을 엘 듯이 심하다
늠름스럽다,보기에 생김새나 태도가 의젓하고 당당한 데가 있다
늠름하다,생김새나 태도가 의젓하고 당당하다
늠름하다,위태로워서 두렵다
늠연하다,위엄이 있고 당당하다추위가 살을 엘 듯이 심하다
늠철하다,숨이 끊어질 듯 말 듯 하다
늠호하다,위엄이 있고 당당하다
늡늡하다,성격이 너그럽고 활달하다
능간하다,일을 잘 감당해 나갈 만한 능력이나 재간이 있다
능갈맞다,얄밉도록 몹시 능청스럽다
능갈스럽다,얄밉도록 몹시 능청을 떠는 데가 있다
능갈지다,몹시 능갈맞다
능글능글하다,음흉하고 능청스럽다
능글맞다,태도가 음흉하고 능청스러운 데가 있다
능글스럽다,보기에 음흉하고 능청스러운 데가 있다
능글차다,매우 음흉하고 능청스럽다
능란하다,차례가 뒤섞여 어지럽다
능란하다,익숙하고 솜씨가 있다
능려하다,아주 뛰어나게 훌륭하다기세가 강해 당해 내기 어렵다
능릉하다,성품이 모가 나고 날카롭다추위가 심하다모양이 위엄 있다
능소능대하다,모든 일에 두루 능하다
능수능란하다,일 따위에 익숙하고 솜씨가 좋다
능숙하다,능하고 익숙하다
능준하다,역량이나 수량 따위가 표준에 미치고도 남아서 넉넉하다
능증하다,울퉁불퉁하고 가팔라 산세가 험하다
능청맞다,속으로는 엉큼한 마음을 숨기고 겉으로는 천연스럽게 행동하는 태도가 있다
능청스럽다,속으로는 엉큼한 마음을 숨기고 겉으로는 천연스럽게 행동하는 데가 있다
능통하다,사물의 이치에 훤히 통달하다
능폭하다,아주 난폭하다
능하다,어떤 일 따위에 뛰어나다
능활하다,능력이 있으면서 교활하다
닁닁하다, 밍밍하다 느끼하다
니끼하다, 느끼하다
다감다정하다,정이 많고 감정이 풍부하다
다감다한하다,느낌도 많고 한도 많다
다감하다,감정이나 감수성이 풍부하다
다겁하다,겁이 많다
다견하다, 대견하다
다고하다,탈이 많다
다공하다,구멍이 많다
다구하다,말이 많다
다근하다, 대견하다
다급스럽다,보기에 몹시 급한 데가 있다
다급하다,일이 바싹 닥쳐서 매우 급하다
다기있다,마음이 굳고 야무지다
다기지다,마음이 굳고 야무지다
다기차다,마음이 굳고 야무지다
다기하다,갈래가 많다여러 방면에 걸치다
다기하다,여러 가지 기예에 능하다 특히 손재주가 많음을 이른다
다기하다,웬만한 일에는 두려움이 없이 마음이 단단하다
다난하다,힘들고 어려운 일이 많다
다남자하다,아들이 많다
다남하다,아들이 많다
다냥하다, 당양하다
다능다재하다,재주와 능력이 여러 가지로 많다
다능하다,여러 가지 재주가 많다
다다귀다다귀하다,다닥다닥하다의 본말
다다하다,매우 많다
다닥다닥하다,자그마한 것들이 한곳에 많이 붙어 있다보기 흉할 정도로 지저분하게 여기저기 기운 데가 있다
다단하다,일이 갈래나 가닥이 많다 또는 일이 흐트러져 복잡하다
다달하다, 달콤하다
다대하다,많고도 크다
다되다,완전히 그르친 상태에 있다
다디달다,매우 달다베푸는 정 따위가 매우 두텁다
다라지다,여간한 일에 겁내지 아니할 만큼 사람됨이 야무지다
다락같다,물건값이 매우 비싸다덩치나 규모 정도가 매우 크고 심하다
다락다락하다,물방울 따위가 많이 매달려 있다
다랍다,때나 찌꺼기 따위가 있어 조금 지저분하다언행이 순수하지 못하거나 조금 인색하다
다래다래하다,작은 물건이 많이 매달려 있거나 늘어져 있다
다력하다,힘이 많다
다르다,비교가 되는 두 대상이 서로 같지 아니하다보통의 것보다 두드러진 데가 있다
다르르하다,어떤 일에 능통하여 막힘이 없다
다름없다,견주어 보아 같거나 비슷하다
다망하다,매우 바쁘다
다망하다,바라는 바가 많다
다면하다,면이 많다
다모하다,몸에 털이 많다
다문다문하다,시간적으로 잦지 아니하고 좀 드물다공간적으로 배지 아니하고 사이가 좀 드물다
다문박식하다,보고 들은 것이 많고 아는 것이 많다
다문하다,보고 들은 것이 많다법문을 외워 지닌 것이 많다
다밭다,길이가 몹시 짧다
다번하다,번거로움이 많다매우 많다
다변스럽다,매우 말이 많은 듯하다
다변하다,말이 많다
다병하다,몸에 병이 많거나 잦다
다보록다보록하다,풀이나 작은 나무 따위가 여럿이 다 탐스럽게 소복하다수염이나 머리털 따위가 짧고 촘촘하게 많이 나서 소담하다
다보록하다,풀이나 작은 나무 따위가 탐스럽게 소복하다수염이나 머리털 따위가 짧고 촘촘하게 많이 나서 소담하다
다복다복하다,풀이나 나무 따위가 여기저기 아주 탐스럽게 소복하다
다복스럽다,보기에 복이 좀 많다
다복하다,풀이나 나무 따위가 아주 탐스럽게 소복하다
다복하다,복이 많다
다부룩하다, 다보록하다
다부지다,벅찬 일을 견디어 낼 만큼 굳세고 야무지다생김새가 옹골차다일을 해내는 솜씨나 태도가 빈틈이 없고 야무진 데가 있다
다분하다,그 비율이 어느 정도 많다
다불다불하다,어린아이의 머리털이 늘어져 있다
다붓다붓하다,여럿이 다 매우 가깝게 붙어 있다
다붓하다,매우 가깝게 붙어 있다
다붓하다,조용하고 호젓하다
다뿍다뿍하다,여럿이 분량이 다소 넘치게 많다
다뿍하다,분량이 다소 넘치게 많다
다사다난하다,여러 가지 일도 많고 어려움이나 탈도 많다
다사다단하다,여러 가지 일이나 까닭이 서로 뒤얽혀 복잡하다
다사다망하다,일이 많아 몹시 바쁘다
다사롭다,따뜻한 기운이 조금 있다
다사롭다,보기에 일이 좀 많은 듯하다
다사분주하다,여러 가지로 일이 많아 몹시 바쁘다
다사스럽다,보기에 바쁜 데가 있다보기에 쓸데없는 일에 간섭을 잘하는 데가 있다
다사하다,조금 따뜻하다
다사하다,일이 많다 다사스럽다
다사하다, 다사스럽다
다상하다,기쁜 일이 많다
다소곳하다,고개를 조금 숙이고 온순한 태도로 말이 없다온순한 마음으로 따르는 태도가 있다한적하고도 얌전하다
다수굿하다, 다소곳하다
다수하다,수효가 많다
다숩다, 다습다
다스하다,조금 다습다
다습다,알맞게 따뜻하다
다습하다,습기가 많다
다시다, 다습다
다시없다,그보다 더 나은 것이 없다
다식하다,아는 것이 많다
다심스럽다,보기에 조그만 일에도 생각을 많이 하는 데가 있다
다심하다,조그만 일에도 마음이 안 놓여 여러 가지로 생각하거나 걱정하는 게 많다
다양스럽다,보기에 모양 빛깔 형태 양식 따위가 여러 가지로 많은 데가 있다
